Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,1,1,15,8,ACCELERATING,false,0,0,0,0,0,,,0,0,0
4,1,1,24,9,ACCELERATING,false,0,0,0,0,0,,,0,0,0
5,1,2,32,9,TURNING_RIGHT,false,0,0,0,0,0,,,0,0,0
6,1,1,40,6,HIT_MUD,false,0,2,0,0,0,,,1,1,2
7,1,1,48,8,ACCELERATING,false,0,2,0,0,1,,,1,1,6
8,1,1,56,8,ACCELERATING,false,0,2,0,0,1,,,1,1,6
9,1,1,64,8,ACCELERATING,false,0,2,0,0,1,,,1,1,6
10,1,1,72,8,ACCELERATING,false,0,2,0,0,1,,,1,2,10
11,1,1,79,6,HIT_MUD,false,0,3,0,0,1,,,1,2,7
12,1,2,84,3,HIT_MUD,false,0,4,0,0,1,,,1,2,4
13,1,2,87,3,ACCELERATING,false,0,4,0,0,1,,,1,2,4
14,1,2,90,3,ACCELERATING,false,0,4,0,0,1,,,1,2,4
15,1,2,93,3,ACCELERATING,false,0,4,0,0,1,,,1,2,4
16,1,2,96,3,ACCELERATING,false,0,4,0,0,1,,,1,2,4
17,1,2,99,3,ACCELERATING,false,0,4,0,0,1,,,1,2,4
18,1,2,102,3,ACCELERATING,false,0,4,0,0,1,,,1,2,4
19,1,2,105,3,ACCELERATING,false,0,4,0,0,1,,,1,2,4
20,1,2,108,3,ACCELERATING,false,0,4,0,0,1,,,1,2,4
21,1,2,111,3,ACCELERATING,false,0,4,0,0,1,,,1,2,4
22,1,2,114,3,ACCELERATING,false,0,4,0,0,1,,,1,2,4
23,1,2,117,3,ACCELERATING,false,0,4,0,0,1,,,1,2,4
24,1,2,120,3,ACCELERATING,false,0,4,0,0,1,,,1,2,4
25,1,2,123,3,ACCELERATING,false,0,4,0,0,1,,,1,2,4
26,1,3,125,0,HIT_MUD,false,0,5,0,0,1,,,1,2,-2
27,1,3,125,0,ACCELERATING,false,0,5,0,0,1,,,1,2,-2
28,1,3,125,0,ACCELERATING,false,0,5,0,0,1,,,1,2,-2
29,1,3,125,0,ACCELERATING,false,0,5,0,0,1,,,1,2,-2
30,1,3,125,0,ACCELERATING,false,0,5,0,0,1,,,1,2,-2
31,1,3,125,0,ACCELERATING,false,0,5,0,0,1,,,1,2,-2
