Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,1,1,15,8,ACCELERATING,false,0,0,0,0,0,,,0,0,0
4,1,1,24,9,ACCELERATING,false,0,0,0,0,0,,,0,0,0
5,1,1,33,9,NOTHING,false,0,0,0,0,1,,,0,0,4
6,1,1,42,9,NOTHING,false,0,0,0,0,1,,,0,0,4
7,1,1,51,9,NOTHING,false,0,0,0,0,1,,,0,1,8
8,1,1,60,9,NOTHING,false,0,0,0,0,2,,,0,1,12
9,1,1,69,9,NOTHING,false,0,0,0,0,2,,,0,1,12
10,1,1,77,8,HIT_MUD,false,0,1,1,0,2,,,0,1,13
11,1,1,86,9,ACCELERATING,false,0,1,1,0,2,,,0,1,13
12,1,1,95,9,NOTHING,false,0,1,1,0,2,,,0,1,13
13,1,1,104,9,NOTHING,false,0,1,1,0,2,,,0,1,13
14,1,1,112,8,HIT_MUD,false,0,2,1,1,2,,,0,1,14
15,1,1,120,8,ACCELERATING,false,0,2,1,1,2,,,0,1,14
16,1,1,128,8,ACCELERATING,false,0,2,1,1,2,,,0,1,14
17,1,1,136,8,ACCELERATING,false,0,2,1,1,2,,,0,1,14
18,1,1,143,6,HIT_MUD,false,0,3,1,2,2,,,0,1,15
19,1,1,148,3,HIT_MUD,false,0,4,1,2,2,,,0,1,12
20,1,1,150,0,HIT_MUD,false,0,5,1,2,2,,,0,1,6
21,1,1,150,0,ACCELERATING,false,0,5,1,2,2,,,0,1,6
22,1,1,150,0,ACCELERATING,false,0,5,1,2,2,,,0,1,6
23,1,1,150,0,ACCELERATING,false,0,5,1,2,2,,,0,1,6
24,1,1,150,0,ACCELERATING,false,0,5,1,2,2,,,0,1,6
25,1,1,150,0,ACCELERATING,false,0,5,1,2,2,,,0,1,6
26,1,1,150,0,ACCELERATING,false,0,5,1,2,2,,,0,1,6
27,1,1,150,0,ACCELERATING,false,0,5,1,2,2,,,0,1,6
28,1,1,150,0,ACCELERATING,false,0,5,1,2,2,,,0,1,6
29,1,1,150,0,ACCELERATING,false,0,5,1,2,2,,,0,1,6
30,1,1,150,0,ACCELERATING,false,0,5,1,2,2,,,0,1,6
31,1,1,150,0,ACCELERATING,false,0,5,1,2,2,,,0,1,6
